State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
South Carolina,637800,648643,623778,626914,627205,629729,620711,620723,624931,624795,619223,609158,608518,604553,602718,606643,611629,614921,615774,616177,622112,627470,640464,643696,648725,645586,644411,650570,655650,666780,679724,674165,694389,699198,703736,701544,708021,712317,718113,723143,725838,727186,734700,738800
South Dakota,166305,165267,162398,157522,153592,151217,148080,143630,138228,133840,128507,125657,123897,123060,123314,124291,125458,126817,126910,127329,129164,131576,134573,142825,143482,144685,143331,141708,132277,130877,128445,127239,130048,125537,122798,122012,121158,121606,126429,123713,126128,128016,128300,129300
Tennessee,899893,897598,891775,902704,872819,876926,841974,878424,873036,866117,853569,838297,828264,822057,817212,813753,818073,823783,821580,819660,824595,833651,855231,866557,881425,893770,871742,849303,877993,892861,881402,881681,927608,936682,941091,953928,978368,964259,971950,972549,987422,999693,1006500,1012600
Texas,2839900,2811700,2738131,2782151,2785296,2812888,2822754,2842842,2867254,2872719,2900073,2935547,2985659,2989796,3040305,3131705,3209515,3236787,3283707,3328514,3382887,3464371,3541769,3608262,3677171,3748167,3828975,3891877,3945367,3991783,4059619,4163447,4259823,4331751,4405215,4525394,4599509,4674832,4752148,4850210,4935715,5000470,5072200,5135400
Utah,304002,305740,305916,305800,306388,309708,314471,317332,325026,333049,343618,355554,370183,378208,390141,403305,415994,423386,431119,438554,446652,456430,463870,471365,474675,477121,469256,469890,467742,467098,466405,469353,489262,495981,503607,508430,523386,576244,559778,571586,585552,598832,612500,624700
Vermont,103130,105340,106517,106236,105376,104874,104356,102934,101292,98338,95815,93183,91454,90416,90089,90157,92112,92755,93381,94779,95762,97137,98558,102755,104533,105565,104659,104529,104779,104189,101944,101086,99978,99103,98352,96638,95399,94038,93625,91451,96858,89908,89900,89000
Virginia,1078754,1074073,1069345,1085295,1093309,1103669,1100723,1082184,1055238,1031403,1010371,989548,975727,966110,965222,968104,975135,979417,982393,985346,998601,1016204,1031925,1045471,1060809,1079854,1066961,1080130,1091455,1110427,1140481,1160828,1177229,1192092,1204739,1213616,1220440,1230857,1235795,1245340,1251440,1257883,1263200,1269100
Washington,817712,805049,790502,788324,785457,785449,780730,776463,769246,764879,757639,750188,739215,736239,741177,749706,761428,775755,790918,810232,839709,869327,896475,915952,938314,956572,974504,991235,999616,1003714,1004843,1009200,1014798,1021349,1020005,1031985,1026774,1030247,1037018,1035347,1043788,1045453,1049200,1052400
West Virginia,399531,403377,409989,409184,404441,404119,404771,401369,395722,387966,383503,377772,375115,371251,362941,357923,351837,344236,335912,327540,322389,320249,318296,314383,310511,307112,302929,300538,296674,291198,285929,282378,282455,281215,280129,280866,281939,282535,282729,282662,282879,282870,282600,280800
Wisconsin,993736,999921,995223,987022,974333,964219,945337,917863,886419,857855,830247,804262,784830,774646,767542,768234,767819,772363,774857,782905,797621,814671,829415,844001,860581,870175,879259,881780,879542,877757,879476,879361,881231,880031,864757,875174,876700,874633,873750,872436,872286,871105,869400,869300
Wyoming,86886,86430,86017,85391,86584,88184,90587,92321,94328,95422,98305,99541,101665,99254,101261,102779,100955,98455,97793,97172,98226,102074,100313,100899,100314,99859,99043,96778,94988,92254,89915,87897,88116,87462,84733,84409,85193,86422,87161,88155,89009,90099,91900,93100
