State,Year,Students Per Teacher,Median Teacher Salary
Vermont,1984,14.2,40798
Virginia,1984,16.8,45679
Washington,1984,20.8,54769
West Virginia,1984,16,42010
Wisconsin,1984,16.3,52777
Wyoming,1984,14.1,56687
Alabama,1985,20.2,48194
Alaska,1985,15.8,81641
Arizona,1985,19.6,51512
Arkansas,1985,17.5,40740
California,1985,23.1,60800
Colorado,1985,18.4,54042
Connecticut,1985,14,55541
Delaware,1985,16.2,51395
District of Columbia,1985,14.2,69318
Florida,1985,17.6,46440
Georgia,1985,18.8,48102
Hawaii,1985,22.6,53944
Idaho,1985,20.3,43767
Illinois,1985,17.8,56140
Indiana,1985,18.6,50771
Iowa,1985,15.3,45215
Kansas,1985,15.4,47263
Kentucky,1985,19.2,43723
Louisiana,1985,18.5,42377
Maine,1985,14.5,40874
Maryland,1985,17.5,55937
Massachusetts,1985,14.9,55303
Michigan,1985,19.5,62756
Minnesota,1985,17.1,57106
Mississippi,1985,18.1,38555
Missouri,1985,16.5,45804
Montana,1985,15.9,46925
Nebraska,1985,15,43704
Nevada,1985,20,53453
New Hampshire,1985,15.9,42293
New Jersey,1985,15,56709
New Mexico,1985,18.8,45881
New York,1985,15.8,63639
North Carolina,1985,18.8,46628
North Dakota,1985,15.2,43447
Ohio,1985,18.3,51174
Oklahoma,1985,16.6,44706
Oregon,1985,18.2,53558
Pennsylvania,1985,16.6,53961
Rhode Island,1985,15.1,61510
South Carolina,1985,17.5,45073
South Dakota,1985,14.9,37768
Tennessee,1985,20.3,44633
Texas,1985,17.3,51059
Utah,1985,24.9,47073
Vermont,1985,14.1,43406
Virginia,1985,16.9,48204
Washington,1985,20.7,54704
West Virginia,1985,15.7,43053
Wisconsin,1985,16.5,54992
Wyoming,1985,14.1,56822
Alabama,1986,19.8,47371
Alaska,1986,16.7,81203
Arizona,1986,18.4,53032
Arkansas,1986,17.5,40641
California,1986,23,63745
Colorado,1986,18.2,55921
Connecticut,1986,13.7,59014
Delaware,1986,16,56084
District of Columbia,1986,14.3,69009
Florida,1986,17.5,48664
Georgia,1986,18.9,49413
Hawaii,1986,22.6,54753
Idaho,1986,20.4,43859
Illinois,1986,17.4,57658
Indiana,1986,18.3,46108
Iowa,1986,15.5,46108
Kansas,1986,15.4,47900
Kentucky,1986,18.6,45893
Louisiana,1986,18.5,43280
Maine,1986,15.5,43404
Maryland,1986,17.1,58996
Massachusetts,1986,14.4,59055
Michigan,1986,19.2,64139
Minnesota,1986,17.4,57867
Mississippi,1986,19,39708
Missouri,1986,16.4,47851
Montana,1986,15.6,47384
Nebraska,1986,15.1,44582
Nevada,1986,20.4,55049
New Hampshire,1986,15.9,44654
New Jersey,1986,14.7,58639
New Mexico,1986,19,48956
New York,1986,15.4,65340
North Carolina,1986,18.7,48758
North Dakota,1986,15.3,43459
Ohio,1986,18.1,53677
Oklahoma,1986,16.9,43835
Oregon,1986,18.3,54498
Pennsylvania,1986,16.3,55992
Rhode Island,1986,15.1,63459
South Carolina,1986,17.3,47374
South Dakota,1986,15.6,38348
Tennessee,1986,19.9,46201
Texas,1986,17.2,50849
Utah,1986,24.6,46873
Vermont,1986,14.4,44584
Virginia,1986,16.8,51126
Washington,1986,20.5,55713
West Virginia,1986,15.3,43790
Wisconsin,1986,16.3,56795
Wyoming,1986,14,57383
Alabama,1987,19.3,45722
Alaska,1987,17.5,79257
Arizona,1987,18.6,53698
Arkansas,1987,17.1,39879
California,1987,22.9,65013
Colorado,1987,18,56174
Connecticut,1987,13.3,65656
Delaware,1987,16.1,57982
District of Columbia,1987,13.9,68044
Florida,1987,17.4,49404
Georgia,1987,17.8,51349
Hawaii,1987,21.6,56437
Idaho,1987,20.7,43608
Illinois,1987,17.2,58158
Indiana,1987,17.9,52994
Iowa,1987,15.6,48706
Kansas,1987,15.4,48324
Kentucky,1987,18.2,47551
Louisiana,1987,18.5,41583
Maine,1987,14.9,45928
Maryland,1987,17.1,60648
Massachusetts,1987,13.9,59562
Michigan,1987,19.9,64997
Minnesota,1987,17.1,58623
Mississippi,1987,18.8,40317
Missouri,1987,16.2,48445
Montana,1987,15.8,46659
Nebraska,1987,15.1,44473
Nevada,1987,20.2,54114
New Hampshire,1987,16,47092
New Jersey,1987,14,60231
New Mexico,1987,18.9,48081
New York,1987,15.2,67642
North Carolina,1987,18.2,48820
North Dakota,1987,15.6,42467
Ohio,1987,18,54125
Oklahoma,1987,16.9,42409
Oregon,1987,18.3,55015
Pennsylvania,1987,16.2,57205
Rhode Island,1987,15.1,64423
South Carolina,1987,17.2,48483
South Dakota,1987,15.5,38738
Tennessee,1987,19.6,46634
Texas,1987,17.3,50110
Utah,1987,24.7,44222
Vermont,1987,13.9,48049
Virginia,1987,16.3,53308
