State,Year,Average Teacher Salary,Students per Teacher
District of Columbia,1979,63312,18
Florida,1979,40369,21
Georgia,1979,39525,21
Hawaii,1979,56837,23
Idaho,1979,38837,21
Illinois,1979,50219,19
Indiana,1979,44507,20
Iowa,1979,43379,17
Kansas,1979,39062,16
Kentucky,1979,41429,21
Louisiana,1979,39261,18
Maine,1979,37295,21
Maryland,1979,50098,19
Massachusetts,1979,49228,15
Michigan,1979,56104,21
Minnesota,1979,45400,18
Mississippi,1979,33810,19
Missouri,1979,39039,18
Montana,1979,41478,17
Nebraska,1979,38563,16
Nevada,1979,46492,21
New Hampshire,1979,37142,18
New Jersey,1979,48964,17
New Mexico,1979,42476,19
New York,1979,56528,19
North Carolina,1979,40278,20
North Dakota,1979,37843,16
Ohio,1979,43568,20
Oklahoma,1979,37396,18
Oregon,1979,46411,19
Pennsylvania,1979,47122,18
Rhode Island,1979,51363,17
South Carolina,1979,37272,20
South Dakota,1979,35231,16
Tennessee,1979,39864,21
Texas,1979,40321,19
Utah,1979,42538,24
Vermont,1979,35619,15
Virginia,1979,40115,18
Washington,1979,53698,22
West Virginia,1979,39117,18
Wisconsin,1979,45667,18
Wyoming,1979,45687,18
Alabama,1980,38714,21
Alaska,1980,72524,17
Arizona,1980,42865,20
Arkansas,1980,33161,19
California,1980,52198,21
Colorado,1980,44304,18
Connecticut,1980,43479,15
Delaware,1980,45030,18
District of Columbia,1980,57167,19
Florida,1980,38490,20
Georgia,1980,38587,19
Hawaii,1980,52832,23
Idaho,1980,37746,20
Illinois,1980,48532,18
Indiana,1980,42997,20
Iowa,1980,42373,16
Kansas,1980,38099,16
Kentucky,1980,39349,20
Louisiana,1980,39998,18
Maine,1980,34962,19
Maryland,1980,47464,18
Massachusetts,1980,46964,16
Michigan,1980,54409,21
Minnesota,1980,44413,17
Mississippi,1980,32520,18
Missouri,1980,38527,17
Montana,1980,39891,17
Nebraska,1980,37180,17
Nevada,1980,44220,21
New Hampshire,1980,34232,20
New Jersey,1980,45582,16
New Mexico,1980,42000,19
New York,1980,53278,18
North Carolina,1980,39624,20
North Dakota,1980,37177,16
Ohio,1980,42230,19
Oklahoma,1980,37929,17
Oregon,1980,45088,21
Pennsylvania,1980,44694,17
Rhode Island,1980,50187,16
South Carolina,1980,35858,19
South Dakota,1980,34146,16
Tennessee,1980,37769,21
Texas,1980,39294,18
Utah,1980,42221,24
Vermont,1980,33827,15
Virginia,1980,38811,18
Washington,1980,53134,21
West Virginia,1980,37343,18
Wisconsin,1980,43985,17
Wyoming,1980,46763,15
Alabama,1981,37226,21
Alaska,1981,76122,16
Arizona,1981,45809,20
Arkansas,1981,34588,19
California,1981,54259,23
Colorado,1981,46681,18
Connecticut,1981,44965,15
Delaware,1981,45996,18
District of Columbia,1981,57860,19
Florida,1981,40012,20
Georgia,1981,39018,19
Hawaii,1981,53751,23
Idaho,1981,39106,21
Illinois,1981,50121,19
Indiana,1981,44437,20
Iowa,1981,43564,17
Kansas,1981,39848,16
Kentucky,1981,41229,21
Louisiana,1981,42754,20
Maine,1981,36018,18
Maryland,1981,50361,18
Massachusetts,1981,48283,15
Michigan,1981,57951,22
Minnesota,1981,47468,17
Mississippi,1981,33703,19
Missouri,1981,39135,17
Montana,1981,42372,16
Nebraska,1981,39510,16
Nevada,1981,47546,21
New Hampshire,1981,35513,17
New Jersey,1981,47475,16
New Mexico,1981,44564,19
New York,1981,55884,18
North Carolina,1981,40408,20
North Dakota,1981,41551,17
Ohio,1981,44231,20
Oklahoma,1981,38653,17
Oregon,1981,48415,20
Pennsylvania,1981,46455,17
Rhode Island,1981,51644,16
South Carolina,1981,37234,19
South Dakota,1981,35091,16
Tennessee,1981,38830,21
Texas,1981,41924,18
Utah,1981,43174,25
Vermont,1981,35088,15
Virginia,1981,40554,18
Washington,1981,54733,22
West Virginia,1981,40843,17
Wisconsin,1981,46228,17
Wyoming,1981,50668,15
Alabama,1982,41568,20
Alaska,1982,80176,16
Arizona,1982,49827,19
Arkansas,1982,35458,18
California,1982,55712,23
Colorado,1982,50654,19
Connecticut,1982,48910,15
Delaware,1982,48660,17
District of Columbia,1982,62835,17
Florida,1982,43116,18
Georgia,1982,41080,19
Hawaii,1982,58500,23
Idaho,1982,41488,21
Illinois,1982,52648,18
Indiana,1982,47541,20
Iowa,1982,45434,16
Kansas,1982,43013,16
Kentucky,1982,43376,20
Louisiana,1982,43460,18
Maine,1982,38333,16
Maryland,1982,54080,19
Massachusetts,1982,51529,16
Michigan,1982,60661,21
Minnesota,1982,53973,18
Mississippi,1982,33786,19
Missouri,1982,41338,17
Montana,1982,46484,16
Nebraska,1982,41080,15
Nevada,1982,52069,21
New Hampshire,1982,39044,16
New Jersey,1982,50811,16
New Mexico,1982,48083,19
New York,1982,58984,17
North Carolina,1982,41488,20
North Dakota,1982,44284,17
Ohio,1982,47195,20
Oklahoma,1982,43104,17
Oregon,1982,51306,19
Pennsylvania,1982,49965,17
Rhode Island,1982,54676,16
South Carolina,1982,38983,19
South Dakota,1982,36793,16
Tennessee,1982,41004,21
Texas,1982,46123,18
Utah,1982,46854,25
Vermont,1982,38387,15
Virginia,1982,43729,17
Washington,1982,55415,22
West Virginia,1982,40867,17
Wisconsin,1982,50715,17
Wyoming,1982,55893,15
Alabama,1983,41729,20
Alaska,1983,89224,16
Arizona,1983,51076,19
Arkansas,1983,39951,18
California,1983,58628,23
Colorado,1983,54931,19
Connecticut,1983,53400,15
Delaware,1983,49405,17
District of Columbia,1983,67654,16
Florida,1983,46014,18
Georgia,1983,43968,19
Hawaii,1983,57483,23
Idaho,1983,42444,21
Illinois,1983,57091,18
Indiana,1983,50829,19
Iowa,1983,47552,16
Kansas,1983,45810,16
Kentucky,1983,46397,20
Louisiana,1983,43424,19
Maine,1983,40895,16
Maryland,1983,56333,18
Massachusetts,1983,54182,15
Michigan,1983,63966,20
Minnesota,1983,57466,18
Mississippi,1983,37316,19
Missouri,1983,45474,17
Montana,1983,48828,16
Nebraska,1983,44331,15
Nevada,1983,52770,20
New Hampshire,1983,41007,16
New Jersey,1983,54902,16
New Mexico,1983,48547,19
New York,1983,64472,17
North Carolina,1983,43214,20
North Dakota,1983,45453,17
Ohio,1983,50244,19
Oklahoma,1983,43968,17
Oregon,1983,54645,18
Pennsylvania,1983,53578,17
Rhode Island,1983,59795,15
South Carolina,1983,41026,19
South Dakota,1983,38894,15
Tennessee,1983,42269,21
Texas,1983,47601,18
Utah,1983,47216,25
Vermont,1983,41551,14
Virginia,1983,46435,17
Washington,1983,57502,21
West Virginia,1983,41275,16
Wisconsin,1983,53835,17
Wyoming,1983,59465,14
Alabama,1984,45324,19
Alaska,1984,85891,17
Arizona,1984,52213,20
Arkansas,1984,41752,18
California,1984,61212,23
Colorado,1984,54612,19
Connecticut,1984,54641,14
Delaware,1984,51195,16
District of Columbia,1984,70814,15
Florida,1984,46531,18
Georgia,1984,46028,19
Hawaii,1984,54999,23
Idaho,1984,44738,21
Illinois,1984,56897,18
Indiana,1984,51035,19
Iowa,1984,46750,15
Kansas,1984,47167,15
Kentucky,1984,45178,20
Louisiana,1984,43526,19
Maine,1984,40934,16
Maryland,1984,57753,18
Massachusetts,1984,54976,15
Michigan,1984,63513,20
Minnesota,1984,56835,17
Mississippi,1984,35560,18
Missouri,1984,45675,17
Montana,1984,48472,16
Nebraska,1984,44326,15
Nevada,1984,50292,20
New Hampshire,1984,41487,16
New Jersey,1984,55450,15
New Mexico,1984,48709,19
New York,1984,63007,16
North Carolina,1984,46479,19
North Dakota,1984,44866,15
Ohio,1984,51092,18
Oklahoma,1984,42474,17
Oregon,1984,54441,18
Pennsylvania,1984,54026,17
Rhode Island,1984,61845,15
South Carolina,1984,44984,18
South Dakota,1984,38813,14
Tennessee,1984,45723,21
Texas,1984,51953,18
Utah,1984,47276,25
Vermont,1984,42428,14
Virginia,1984,47504,17
Washington,1984,56958,21
West Virginia,1984,43688,16
Wisconsin,1984,54885,16
Wyoming,1984,58952,14
Alabama,1985,50440,20
Alaska,1985,85445,16
Arizona,1985,53913,20
Arkansas,1985,42639,17
California,1985,63634,23
Colorado,1985,56559,18
Connecticut,1985,58128,14
Delaware,1985,53790,16
District of Columbia,1985,72548,14
Florida,1985,48605,18
Georgia,1985,50343,19
Hawaii,1985,56458,23
Idaho,1985,45807,20
Illinois,1985,58755,18
Indiana,1985,53137,19
Iowa,1985,47322,15
Kansas,1985,49465,15
Kentucky,1985,45761,19
Louisiana,1985,44350,19
Maine,1985,42778,14
Maryland,1985,58544,17
Massachusetts,1985,57879,15
Michigan,1985,65680,19
Minnesota,1985,59767,17
Mississippi,1985,40351,18
Missouri,1985,47938,17
Montana,1985,49111,16
Nebraska,1985,45741,15
Nevada,1985,55943,20
New Hampshire,1985,44265,16
New Jersey,1985,59351,15
New Mexico,1985,48020,19
New York,1985,66604,16
North Carolina,1985,48801,19
North Dakota,1985,45472,15
Ohio,1985,53559,18
Oklahoma,1985,46788,17
Oregon,1985,56053,18
Pennsylvania,1985,56476,17
Rhode Island,1985,64375,15
South Carolina,1985,47173,18
South Dakota,1985,39528,15
Tennessee,1985,46713,20
Texas,1985,53438,17
Utah,1985,49267,25
Vermont,1985,45428,14
Virginia,1985,50451,17
Washington,1985,57252,21
West Virginia,1985,45059,16
Wisconsin,1985,57554,17
Wyoming,1985,59470,14
Alabama,1986,50504,20
Alaska,1986,86575,17
Arizona,1986,56538,18
Arkansas,1986,43329,18
California,1986,67961,23
Colorado,1986,59620,18
Connecticut,1986,62918,14
Delaware,1986,59793,16
District of Columbia,1986,73574,14
Florida,1986,51882,17
Georgia,1986,52681,19
Hawaii,1986,58374,23
Idaho,1986,46761,20
Illinois,1986,61473,17
Indiana,1986,49156,18
Iowa,1986,49156,16
Kansas,1986,51068,15
Kentucky,1986,48927,19
Louisiana,1986,46141,19
Maine,1986,46275,15
Maryland,1986,62898,17
Massachusetts,1986,62961,14
Michigan,1986,68382,19
Minnesota,1986,61693,17
Mississippi,1986,42334,19
Missouri,1986,51016,16
Montana,1986,50517,16
Nebraska,1986,47530,15
Nevada,1986,58689,20
New Hampshire,1986,47608,16
New Jersey,1986,62516,15
New Mexico,1986,52193,19
New York,1986,69662,15
North Carolina,1986,51983,19
North Dakota,1986,46334,15
Ohio,1986,57227,18
Oklahoma,1986,46733,17
Oregon,1986,58102,18
Pennsylvania,1986,59695,16
Rhode Island,1986,67656,15
South Carolina,1986,50506,17
South Dakota,1986,40885,16
Tennessee,1986,49258,20
Texas,1986,54212,17
Utah,1986,49973,25
Vermont,1986,47532,14
Virginia,1986,54508,17
Washington,1986,59397,21
West Virginia,1986,46686,15
Wisconsin,1986,60551,16
Wyoming,1986,61177,14
Alabama,1987,47861,19
Alaska,1987,82964,17
Arizona,1987,56208,19
Arkansas,1987,41743,17
California,1987,68053,23
Colorado,1987,58800,18
Connecticut,1987,68726,13
Delaware,1987,60694,16
District of Columbia,1987,71225,14
Florida,1987,51714,17
Georgia,1987,53749,18
Hawaii,1987,59075,22
Idaho,1987,45648,21
Illinois,1987,60877,17
Indiana,1987,55472,18
Iowa,1987,50984,16
Kansas,1987,50584,15
Kentucky,1987,49776,18
Louisiana,1987,43527,18
Maine,1987,48076,15
Maryland,1987,63484,17
Massachusetts,1987,62346,14
Michigan,1987,68037,20
Minnesota,1987,61365,17
Mississippi,1987,42202,19
Missouri,1987,50711,16
Montana,1987,48840,16
Nebraska,1987,46552,15
Nevada,1987,56643,20
New Hampshire,1987,49294,16
New Jersey,1987,63046,14
New Mexico,1987,50328,19
New York,1987,70806,15
North Carolina,1987,51103,18
North Dakota,1987,44452,16
Ohio,1987,56656,18
Oklahoma,1987,44392,17
Oregon,1987,57587,18
Pennsylvania,1987,59881,16
Rhode Island,1987,67434,15
South Carolina,1987,50749,17
South Dakota,1987,40549,16
Tennessee,1987,48815,20
Texas,1987,52453,17
Utah,1987,46290,25
Vermont,1987,50297,14
Virginia,1987,55800,16
Washington,1987,57910,20
West Virginia,1987,44608,15
Wisconsin,1987,59767,16
Wyoming,1987,55687,14
Alabama,1988,48454,19
Alaska,1988,81528,17
Arizona,1988,55648,18
Arkansas,1988,41776,16
California,1988,67725,23
Colorado,1988,57714,18
Connecticut,1988,72915,13
Delaware,1988,61672,16
District of Columbia,1988,72697,14
Florida,1988,52668,17
Georgia,1988,52564,18
Hawaii,1988,60097,19
Idaho,1988,44391,21
Illinois,1988,60814,17
Indiana,1988,56940,18
Iowa,1988,50333,16
Kansas,1988,53423,15
Kentucky,1988,48679,18
Louisiana,1988,43875,18
Maine,1988,48695,15
Maryland,1988,66184,17
Massachusetts,1988,62915,14
Michigan,1988,67697,20
Minnesota,1988,59867,17
Mississippi,1988,44085,18
Missouri,1988,50779,16
Montana,1988,47684,16
Nebraska,1988,46560,15
Nevada,1988,56312,20
New Hampshire,1988,52138,16
New Jersey,1988,64507,14
New Mexico,1988,47442,19
New York,1988,71570,15
North Carolina,1988,50255,17
North Dakota,1988,43442,15
Ohio,1988,57934,18
Oklahoma,1988,43680,17
Oregon,1988,57386,18
Pennsylvania,1988,61014,16
Rhode Island,1988,66842,14
South Carolina,1988,50031,17
South Dakota,1988,40087,15
Tennessee,1988,50023,19
Texas,1988,51796,17
Utah,1988,44621,24
Vermont,1988,52926,14
