State,Year,Teachers,Students
Florida,1978,71856,1513819
Georgia,1978,53000,1093256
Hawaii,1978,7940,170761
Idaho,1978,9830,203022
Illinois,1978,112904,2039430
Indiana,1978,53657,1113331
Iowa,1978,33511,568540
Kansas,1978,26812,433538
Kentucky,1978,32835,692999
Louisiana,1978,41756,816669
Maine,1978,13878,240016
Maryland,1978,42543,809933
Massachusetts,1978,66962,1081464
Michigan,1978,87622,1911345
Minnesota,1978,44488,807716
Mississippi,1978,25685,493710
Missouri,1978,48800,900002
Montana,1978,9682,164326
Nebraska,1978,17731,297796
Nevada,1978,6294,146281
New Hampshire,1978,8874,172389
New Jersey,1978,78000,1337327
New Mexico,1978,13909,279249
New York,1978,158146,3093885
North Carolina,1978,55309,1162810
North Dakota,1978,7381,122021
Ohio,1978,102645,2102440
Oklahoma,1978,32136,588870
Oregon,1978,24579,471374
Pennsylvania,1978,110833,2046746
Rhode Island,1978,9314,161285
South Carolina,1978,30022,624931
South Dakota,1978,8179,138228
Tennessee,1978,41220,873036
Texas,1978,154913,2867254
Utah,1978,13425,325026
Vermont,1978,6480,101292
Virginia,1978,56739,1055238
Washington,1978,34893,769246
West Virginia,1978,19765,395722
Wisconsin,1978,47677,886419
Wyoming,1978,5806,94328
Alabama,1979,31967,754181
Alaska,1979,5130,88573
Arizona,1979,26205,509252
Arkansas,1979,23851,453125
California,1979,194237,4119511
Colorado,1979,29675,550527
Connecticut,1979,35225,566634
Delaware,1979,6021,104035
District of Columbia,1979,5946,106156
Florida,1979,71853,1508337
Georgia,1979,52292,1078462
Hawaii,1979,7207,168660
Idaho,1979,9697,202758
Illinois,1979,107211,2043239
Indiana,1979,53426,1083826
Iowa,1979,32911,548317
Kansas,1979,26184,422924
Kentucky,1979,32959,677123
Louisiana,1979,44688,800435
Maine,1979,10748,227823
Maryland,1979,41738,777725
Massachusetts,1979,69313,1035724
Michigan,1979,86650,1860498
Minnesota,1979,44149,778056
Mississippi,1979,25805,482039
Missouri,1979,48755,872933
Montana,1979,9521,158208
Nebraska,1979,18325,287288
Nevada,1979,6986,147734
New Hampshire,1979,9425,170546
New Jersey,1979,77429,1287809
New Mexico,1979,14144,275572
New York,1979,158621,2969216
North Carolina,1979,56369,1150053
North Dakota,1979,7560,117688
Ohio,1979,101482,2025256
Oklahoma,1979,33210,583458
Oregon,1979,24780,467128
Pennsylvania,1979,111615,1968801
Rhode Island,1979,9255,154699
South Carolina,1979,31658,624795
South Dakota,1979,8122,133840
Tennessee,1979,40978,866117
Texas,1979,153727,2872719
Utah,1979,13974,333049
Vermont,1979,6628,98338
Virginia,1979,56868,1031403
Washington,1979,35498,764879
West Virginia,1979,21387,387966
Wisconsin,1979,48264,857855
Wyoming,1979,5208,95422
Alabama,1980,36172,758721
Alaska,1980,5225,86514
Arizona,1980,25713,513790
Arkansas,1980,24078,447700
California,1980,193846,4076421
Colorado,1980,29840,546033
Connecticut,1980,34584,531459
Delaware,1980,5626,99403
District of Columbia,1980,5238,100049
