State,Year,Income per Capita,Expenditures per Student
Kansas,1982,29930,6819
Kentucky,1982,23488,4648
Louisiana,1982,25863,5971
Maine,1982,24730,5609
Maryland,1982,33496,7434
Massachusetts,1982,31894,7536
Michigan,1982,27962,7838
Minnesota,1982,29366,7118
Mississippi,1982,20459,4556
Missouri,1982,27357,5416
Montana,1982,26314,7351
Nebraska,1982,28583,6922
Nevada,1982,32385,5921
New Hampshire,1982,29935,6160
New Jersey,1982,34602,9081
New Mexico,1982,24899,6516
New York,1982,32549,9911
North Carolina,1982,24040,4934
North Dakota,1982,27447,6679
Ohio,1982,27742,6066
Oklahoma,1982,29061,6444
Oregon,1982,27332,7757
Pennsylvania,1982,29017,7572
Rhode Island,1982,28706,7958
South Carolina,1982,22708,4670
South Dakota,1982,24975,5783
Tennessee,1982,23729,4673
Texas,1982,29483,6114
Utah,1982,23471,4653
Vermont,1982,25728,7175
Virginia,1982,30646,6069
Washington,1982,31046,7321
West Virginia,1982,22601,6262
Wisconsin,1982,28058,7206
Wyoming,1982,31735,9221
Alabama,1983,23413,4598
Alaska,1983,45581,16756
Arizona,1983,28033,6222
Arkansas,1983,22653,4969
California,1983,34545,7058
Colorado,1983,32584,7439
Connecticut,1983,37466,9050
Delaware,1983,32038,8418
District of Columbia,1983,37482,9927
Florida,1983,30776,6469
Georgia,1983,26170,5205
Hawaii,1983,33834,7332
Idaho,1983,25075,4807
Illinois,1983,31924,6838
Indiana,1983,26529,5878
Iowa,1983,27579,7322
Kansas,1983,30072,7094
Kentucky,1983,23556,4971
Louisiana,1983,25859,5794
Maine,1983,25517,6122
Maryland,1983,34585,8076
Massachusetts,1983,33426,7838
Michigan,1983,29005,7825
Minnesota,1983,29885,7594
Mississippi,1983,20661,4992
Missouri,1983,28200,5872
Montana,1983,26534,7769
Nebraska,1983,28665,7238
Nevada,1983,32580,5911
New Hampshire,1983,31531,6445
New Jersey,1983,36099,9661
New Mexico,1983,25281,6359
New York,1983,33834,10555
North Carolina,1983,25141,5133
North Dakota,1983,27696,6852
Ohio,1983,28547,6569
Oklahoma,1983,28069,6355
Oregon,1983,28231,7845
Pennsylvania,1983,29497,7990
Rhode Island,1983,29937,8473
South Carolina,1983,23718,5168
South Dakota,1983,25117,6076
Tennessee,1983,24471,4704
Texas,1983,29578,6075
Utah,1983,23770,4593
Vermont,1983,26408,7628
Virginia,1983,31710,6356
Washington,1983,31862,7663
West Virginia,1983,22534,6328
Wisconsin,1983,28663,7534
Wyoming,1983,30179,10158
Alabama,1984,24579,5086
Alaska,1984,44176,16443
Arizona,1984,29482,6175
Arkansas,1984,24028,5294
California,1984,36136,7397
Colorado,1984,33701,7803
Connecticut,1984,40013,10306
Delaware,1984,33505,8768
District of Columbia,1984,39193,10112
Florida,1984,31969,6859
Georgia,1984,27903,5639
Hawaii,1984,34247,7253
Idaho,1984,25477,5119
Illinois,1984,33689,7032
Indiana,1984,28199,6315
Iowa,1984,29484,7422
Kansas,1984,31459,7393
Kentucky,1984,25196,4895
Louisiana,1984,26351,6233
Maine,1984,26882,6577
Maryland,1984,36325,8272
Massachusetts,1984,35888,8322
Michigan,1984,30746,8118
Minnesota,1984,32370,7992
Mississippi,1984,21551,5004
Missouri,1984,29782,6046
Montana,1984,26675,7941
Nebraska,1984,30432,7463
Nevada,1984,33231,5968
New Hampshire,1984,33539,6796
New Jersey,1984,38086,9477
New Mexico,1984,26073,6559
New York,1984,35813,10919
North Carolina,1984,26869,5597
North Dakota,1984,28427,7011
Ohio,1984,30220,6945
Oklahoma,1984,28898,6087
Oregon,1984,29226,7954
Pennsylvania,1984,30591,8916
Rhode Island,1984,31448,8899
South Carolina,1984,25037,5883
South Dakota,1984,27083,6259
Tennessee,1984,25955,5118
Texas,1984,30591,6741
Utah,1984,24709,4752
Vermont,1984,27759,7916
Virginia,1984,33354,6716
Washington,1984,32455,7887
West Virginia,1984,23440,6845
Wisconsin,1984,30133,7883
Wyoming,1984,30500,10211
Alabama,1985,25434,5304
Alaska,1985,44500,16768
Arizona,1985,30437,6620
Arkansas,1985,24649,5512
California,1985,36882,7775
Colorado,1985,33974,8064
Connecticut,1985,41196,10209
Delaware,1985,34885,9272
District of Columbia,1985,40028,10278
Florida,1985,33006,7171
Georgia,1985,28914,6072
Hawaii,1985,34810,7711
Idaho,1985,25742,5188
Illinois,1985,34264,7306
Indiana,1985,28736,6492
Iowa,1985,29781,7453
Kansas,1985,31976,7632
Kentucky,1985,25408,4903
Louisiana,1985,26442,6512
Maine,1985,27817,7351
Maryland,1985,37700,8629
Massachusetts,1985,37256,8867
Michigan,1985,32113,8489
Minnesota,1985,32960,8229
Mississippi,1985,21855,4941
Missouri,1985,30630,6301
Montana,1985,26110,8119
Nebraska,1985,31044,7547
Nevada,1985,34020,7030
New Hampshire,1985,35072,7142
New Jersey,1985,39218,11304
New Mexico,1985,26811,6404
New York,1985,36948,11485
North Carolina,1985,27685,6059
North Dakota,1985,28534,7040
Ohio,1985,31006,7182
Oklahoma,1985,29194,6466
Oregon,1985,29539,8171
Pennsylvania,1985,31479,8822
Rhode Island,1985,32423,9360
South Carolina,1985,25656,6196
South Dakota,1985,26825,6386
Tennessee,1985,26697,5382
Texas,1985,31259,6773
Utah,1985,25276,4944
Vermont,1985,28787,8446
Virginia,1985,34458,7234
Washington,1985,32861,7930
West Virginia,1985,23831,7159
Wisconsin,1985,30597,8286
Wyoming,1985,31105,10458
Alabama,1986,26303,5227
Alaska,1986,43124,15400
Arizona,1986,31523,7422
Arkansas,1986,25368,5524
California,1986,37948,8146
Colorado,1986,34360,8238
Connecticut,1986,43247,11123
Delaware,1986,35892,9565
District of Columbia,1986,41047,11128
Florida,1986,34095,7592
Georgia,1986,30354,6411
Hawaii,1986,35866,7566
Idaho,1986,25953,5317
Illinois,1986,35432,7648
Indiana,1986,29780,6940
Iowa,1986,30637,7666
Kansas,1986,32833,7717
Kentucky,1986,25704,5319
Louisiana,1986,25979,6139
Maine,1986,29471,7756
Maryland,1986,39310,9094
Massachusetts,1986,39295,9697
Michigan,1986,33373,8691
Minnesota,1986,34095,8559
Mississippi,1986,22204,4819
Missouri,1986,31542,6787
Montana,1986,26940,8224
Nebraska,1986,31590,7665
Nevada,1986,35041,6871
New Hampshire,1986,37056,7781
New Jersey,1986,40898,11895
New Mexico,1986,26946,6632
New York,1986,38619,12195
North Carolina,1986,28961,6355
North Dakota,1986,28739,6822
Ohio,1986,31885,7363
Oklahoma,1986,28959,6216
Oregon,1986,30462,8398
Pennsylvania,1986,32501,9258
Rhode Island,1986,33911,9754
South Carolina,1986,26592,6406
South Dakota,1986,27596,6339
Tennessee,1986,27922,5721
Texas,1986,30868,6832
Utah,1986,25735,4842
Vermont,1986,30242,8869
Virginia,1986,35889,7630
Washington,1986,34125,7966
West Virginia,1986,24283,7544
Wisconsin,1986,31652,8683
Wyoming,1986,30590,10479
Alabama,1987,26710,5353
Alaska,1987,40295,14751
Arizona,1987,31657,7289
Arkansas,1987,25322,5774
California,1987,38524,8078
Colorado,1987,34161,8080
Connecticut,1987,45296,12304
Delaware,1987,36861,9598
District of Columbia,1987,41806,11797
Florida,1987,34626,7871
Georgia,1987,30888,6656
Hawaii,1987,36332,7628
Idaho,1987,26416,5220
Illinois,1987,36153,7964
Indiana,1987,30398,7198
Iowa,1987,31221,8057
Kansas,1987,32944,7759
Kentucky,1987,26204,5647
Louisiana,1987,25518,6014
Maine,1987,30573,8262
Maryland,1987,40208,9532
Massachusetts,1987,40852,10346
Michigan,1987,33269,9064
Minnesota,1987,34842,8610
Mississippi,1987,22693,5035
Missouri,1987,31854,7137
Montana,1987,26998,8080
Nebraska,1987,32017,7735
Nevada,1987,35430,6872
New Hampshire,1987,38466,8502
New Jersey,1987,42310,12624
New Mexico,1987,26843,6647
New York,1987,39699,12911
North Carolina,1987,29713,6570
North Dakota,1987,28867,6748
Ohio,1987,32144,7490
Oklahoma,1987,28198,6036
Oregon,1987,30742,8888
Pennsylvania,1987,33146,9591
Rhode Island,1987,34694,10260
South Carolina,1987,27195,6548
South Dakota,1987,28025,6399
Tennessee,1987,28750,5949
Texas,1987,30269,6947
Utah,1987,25749,4797
Vermont,1987,31375,10266
Virginia,1987,36628,8070
Washington,1987,34334,8074
West Virginia,1987,24337,7457
Wisconsin,1987,32082,8952
Wyoming,1987,29500,9882
Alabama,1988,27530,6041
Alaska,1988,40147,13887
Arizona,1988,31837,7459
Arkansas,1988,26071,6049
California,1988,39223,8413
Colorado,1988,34689,8305
Connecticut,1988,47606,12964
Delaware,1988,38062,9920
District of Columbia,1988,44555,13782
Florida,1988,35551,8424
Georgia,1988,31777,7234
Hawaii,1988,37900,7685
Idaho,1988,27448,5314
Illinois,1988,37408,8533
Indiana,1988,31121,7869
Iowa,1988,30883,8057
Kansas,1988,33058,8031
Kentucky,1988,27384,6021
Louisiana,1988,26189,6278
Maine,1988,31779,8664
Maryland,1988,41560,10179
Massachusetts,1988,42818,10975
Michigan,1988,33970,9471
Minnesota,1988,34751,9034
Mississippi,1988,23380,5430
Missouri,1988,32280,7681
Montana,1988,26773,7789
Nebraska,1988,32738,8206
Nevada,1988,36826,7128
New Hampshire,1988,39589,8660
New Jersey,1988,44383,13530
New Mexico,1988,26991,6675
New York,1988,41700,13315
North Carolina,1988,30867,7191
North Dakota,1988,25857,7272
Ohio,1988,32978,8420
Oklahoma,1988,28628,6321
Oregon,1988,31681,9200
Pennsylvania,1988,34369,10343
Rhode Island,1988,36477,11201
South Carolina,1988,28120,6884
South Dakota,1988,27960,6748
Tennessee,1988,29769,6498
Texas,1988,30757,7167
Utah,1988,26105,4844
Vermont,1988,32376,10397
Virginia,1988,37820,8454
